depth_mMDRF,inclination_deg,azimuth_deg,TVD_mRF,mRSL,easting_m,northing_m
1640.65,20.07,429.91,1595.18,-1595.18,-27.069999999832362,259.28000000026077
1651.0,20.19,429.74,1604.9,-1604.9,-27.700000000186265,262.79000000003725
1660.33,20.11,429.78,1613.66,-1613.66,-28.270000000018626,265.95000000018626
1670.7,20.04,429.89,1623.4,-1623.4,-28.899999999906868,269.45000000018626
1680.04,19.91,429.62,1632.18,-1632.18,-29.47000000020489,272.589999999851
1690.41,19.99,429.54,1641.93,-1641.93,-30.109999999869615,276.070000000298
1700.81,20.09,429.38,1651.7,-1651.7,-30.759999999776483,279.5800000000745
1710.15,20.01,429.34,1660.47,-1660.47,-31.350000000093132,282.73000000044703
1720.54,19.99,429.29,1670.23,-1670.23,-32.00999999977648,286.21999999973923
1730.94,19.97,429.6,1680.01,-1680.01,-32.66000000014901,289.70999999996275
1740.33,19.89,429.45,1688.84,-1688.84,-33.24000000022352,292.8600000003353
1750.96,19.66,429.37,1698.84,-1698.84,-33.89999999990687,296.3899999996647
1760.3,19.67,429.59,1707.63,-1707.63,-34.47999999998137,299.48000000044703
1770.71,19.94,429.21,1717.43,-1717.43,-35.12999999988824,302.95000000018626
1780.0,19.68,429.94,1726.17,-1726.17,-35.68999999994412,306.04999999981374
1790.49,19.87,429.45,1736.04,-1736.04,-36.330000000074506,309.54000000003725
1800.71,19.76,429.73,1745.65,-1745.65,-36.95999999996275,312.95000000018626
1810.94,19.76,429.49,1755.28,-1755.28,-37.580000000074506,316.34999999962747
1820.25,19.71,429.59,1764.05,-1764.05,-38.14999999990687,319.4400000004098
1830.49,19.57,429.35,1773.69,-1773.69,-38.77999999979511,322.820000000298
1840.82,19.63,430.03,1783.42,-1783.42,-39.39999999990687,326.23000000044703
1850.29,19.61,428.81,1792.34,-1792.34,-39.97999999998137,329.3600000003353
1860.72,19.47,430.07,1802.17,-1802.17,-40.62000000011176,332.79000000003725
1870.22,19.46,429.63,1811.13,-1811.13,-41.18000000016764,335.90000000037253
1880.47,19.51,429.55,1820.79,-1820.79,-41.799999999813735,339.26999999955297
1890.82,19.46,429.67,1830.55,-1830.55,-42.419999999925494,342.660000000149
1900.08,19.47,429.48,1839.28,-1839.28,-42.97999999998137,345.70000000018626
1910.67,19.31,429.81,1849.27,-1849.27,-43.609999999869615,349.15000000037253
1920.13,19.27,429.46,1858.2,-1858.2,-44.169999999925494,352.23000000044703
1930.72,19.19,430.15,1868.2,-1868.2,-44.79000000003725,355.660000000149
1940.23,19.14,428.8,1877.18,-1877.18,-45.359999999869615,358.73000000044703
1950.71,19.12,430.14,1887.08,-1887.08,-45.99000000022352,362.1100000003353
1960.21,19.32,429.05,1896.05,-1896.05,-46.549999999813735,365.179999999702
1970.72,19.28,429.49,1905.97,-1905.97,-47.200000000186265,368.59999999962747
1980.16,19.19,429.37,1914.88,-1914.88,-47.77000000001863,371.65000000037253
1990.67,19.11,430.13,1924.81,-1924.81,-48.37999999988824,375.04999999981374
2000.11,19.22,429.39,1933.73,-1933.73,-48.93999999994412,378.09999999962747
2010.56,18.81,429.87,1943.61,-1943.61,-49.549999999813735,381.4400000004098
2021.0,19.04,429.53,1953.48,-1953.48,-50.14999999990687,384.78000000026077
2030.21,18.79,429.97,1962.2,-1962.2,-50.68999999994412,387.70999999996275
2040.44,19.14,430.12,1971.87,-1971.87,-51.25999999977648,390.9900000002235
2050.69,18.76,430.19,1981.57,-1981.57,-51.830000000074506,394.26999999955297
2060.94,19.06,430.48,1991.26,-1991.26,-52.390000000130385,397.54000000003725
2070.14,18.99,430.37,1999.96,-1999.96,-52.890000000130385,400.5
2080.38,19.05,430.4,2009.64,-2009.64,-53.43999999994412,403.79000000003725
2090.65,19.1,430.75,2019.35,-2019.35,-53.99000000022352,407.09999999962747
2100.94,19.04,430.15,2029.07,-2029.07,-54.549999999813735,410.4199999999255
